,ResponseId,Statement,fake_news_generation_source,PerceivedVeracity,Time_to_respond,WillingnessToShare,VaccinationStatus,SocialOrientation,EconomicOrientation,PoliticalOrientation,Concern,NewsConsumption,CRT,Age,Gender,Religiosity,Income,Fluency,EducationYears,Ethnicity,StatementSequence,EthnicityBinary,GenderBinary,fall_for_fake_news,statement_source
12,R_0N8NtfCM1SRFOtH,AI03,1,0,7.7525,0,1,0,0,0,93,4,2,58,Female,1,1,0,15,0,8,1,1,0,3
13,R_0N8NtfCM1SRFOtH,AI04,1,0,3.928,0,1,0,0,0,93,4,2,58,Female,1,1,0,15,0,3,1,1,0,3
14,R_0N8NtfCM1SRFOtH,AI05,1,0,10.048,0,1,0,0,0,93,4,2,58,Female,1,1,0,15,0,0,1,1,0,3
15,R_0N8NtfCM1SRFOtH,AI06,1,0,3.229,0,1,0,0,0,93,4,2,58,Female,1,1,0,15,0,10,1,1,0,3
16,R_0N8NtfCM1SRFOtH,AI07,1,2,3.2065,0,1,0,0,0,93,4,2,58,Female,1,1,0,15,0,9,1,1,1,3
17,R_0N8NtfCM1SRFOtH,AI08,1,0,2.8805,0,1,0,0,0,93,4,2,58,Female,1,1,0,15,0,12,1,1,0,3
18,R_0N8NtfCM1SRFOtH,AI09,1,0,2.3265,0,1,0,0,0,93,4,2,58,Female,1,1,0,15,0,19,1,1,0,3
19,R_0N8NtfCM1SRFOtH,AI10,1,0,6.029,0,1,0,0,0,93,4,2,58,Female,1,1,0,15,0,4,1,1,0,3
20,R_1pFqGDi1DMW0WYl,Hum01,0,1,5.6545,0,1,2,3,1,65,3,3,69,Female,1,1,0,17,0,0,1,1,0,0
21,R_1pFqGDi1DMW0WYl,Hum02,0,2,5.6115,0,1,2,3,1,65,3,3,69,Female,1,1,0,17,0,3,1,1,1,0
22,R_1pFqGDi1DMW0WYl,Hum03,0,0,3.7545,0,1,2,3,1,65,3,3,69,Female,1,1,0,17,0,13,1,1,0,0
23,R_1pFqGDi1DMW0WYl,Hum04,0,2,3.173,0,1,2,3,1,65,3,3,69,Female,1,1,0,17,0,12,1,1,1,0
24,R_1pFqGDi1DMW0WYl,Hum05,0,0,4.126,0,1,2,3,1,65,3,3,69,Female,1,1,0,17,0,2,1,1,0,1
25,R_1pFqGDi1DMW0WYl,Hum06,0,0,3.3835,0,1,2,3,1,65,3,3,69,Female,1,1,0,17,0,16,1,1,0,1
26,R_1pFqGDi1DMW0WYl,Hum07,0,0,6.5505,0,1,2,3,1,65,3,3,69,Female,1,1,0,17,0,18,1,1,0,2
27,R_1pFqGDi1DMW0WYl,Hum08,0,3,5.3095,0,1,2,3,1,65,3,3,69,Female,1,1,0,17,0,6,1,1,1,2
28,R_1pFqGDi1DMW0WYl,Hum09,0,0,5.1135,0,1,2,3,1,65,3,3,69,Female,1,1,0,17,0,15,1,1,0,2
29,R_1pFqGDi1DMW0WYl,Hum10,0,0,5.0005,0,1,2,3,1,65,3,3,69,Female,1,1,0,17,0,4,1,1,0,2
30,R_1pFqGDi1DMW0WYl,AI01,1,0,4.2375,0,1,2,3,1,65,3,3,69,Female,1,1,0,17,0,9,1,1,0,3
31,R_1pFqGDi1DMW0WYl,AI02,1,2,3.347,0,1,2,3,1,65,3,3,69,Female,1,1,0,17,0,10,1,1,1,3
32,R_1pFqGDi1DMW0WYl,AI03,1,0,3.781,0,1,2,3,1,65,3,3,69,Female,1,1,0,17,0,1,1,1,0,3
33,R_1pFqGDi1DMW0WYl,AI04,1,0,2.639,0,1,2,3,1,65,3,3,69,Female,1,1,0,17,0,19,1,1,0,3
34,R_1pFqGDi1DMW0WYl,AI05,1,0,4.127,0,1,2,3,1,65,3,3,69,Female,1,1,0,17,0,8,1,1,0,3
35,R_1pFqGDi1DMW0WYl,AI06,1,0,2.9875,0,1,2,3,1,65,3,3,69,Female,1,1,0,17,0,7,1,1,0,3
36,R_1pFqGDi1DMW0WYl,AI07,1,2,3.0655,0,1,2,3,1,65,3,3,69,Female,1,1,0,17,0,14,1,1,1,3
37,R_1pFqGDi1DMW0WYl,AI08,1,0,3.2505,0,1,2,3,1,65,3,3,69,Female,1,1,0,17,0,17,1,1,0,3
38,R_1pFqGDi1DMW0WYl,AI09,1,0,2.64,0,1,2,3,1,65,3,3,69,Female,1,1,0,17,0,5,1,1,0,3
39,R_1pFqGDi1DMW0WYl,AI10,1,1,3.2755,0,1,2,3,1,65,3,3,69,Female,1,1,0,17,0,11,1,1,0,3
40,R_3g10Deg3oKZO1gd,Hum01,0,0,7.4865,0,0,2,2,1,74,3,1,39,Female,1,1,0,13,1,11,0,1,0,0
41,R_3g10Deg3oKZO1gd,Hum02,0,2,13.976,0,0,2,2,1,74,3,1,39,Female,1,1,0,13,1,14,0,1,1,0
42,R_3g10Deg3oKZO1gd,Hum03,0,1,7.15,0,0,2,2,1,74,3,1,39,Female,1,1,0,13,1,17,0,1,0,0
43,R_3g10Deg3oKZO1gd,Hum04,0,2,5.387,0,0,2,2,1,74,3,1,39,Female,1,1,0,13,1,18,0,1,1,0
44,R_3g10Deg3oKZO1gd,Hum05,0,0,5.7895,0,0,2,2,1,74,3,1,39,Female,1,1,0,13,1,13,0,1,0,1
45,R_3g10Deg3oKZO1gd,Hum06,0,1,14.99,0,0,2,2,1,74,3,1,39,Female,1,1,0,13,1,2,0,1,0,1
46,R_3g10Deg3oKZO1gd,Hum07,0,1,14.666,0,0,2,2,1,74,3,1,39,Female,1,1,0,13,1,6,0,1,0,2
47,R_3g10Deg3oKZO1gd,Hum08,0,2,9.092,0,0,2,2,1,74,3,1,39,Female,1,1,0,13,1,0,0,1,1,2
48,R_3g10Deg3oKZO1gd,Hum09,0,2,7.6235,0,0,2,2,1,74,3,1,39,Female,1,1,0,13,1,3,0,1,1,2
49,R_3g10Deg3oKZO1gd,Hum10,0,2,11.062,0,0,2,2,1,74,3,1,39,Female,1,1,0,13,1,10,0,1,1,2
50,R_3g10Deg3oKZO1gd,AI01,1,2,6.847,0,0,2,2,1,74,3,1,39,Female,1,1,0,13,1,8,0,1,1,3
51,R_3g10Deg3oKZO1gd,AI02,1,2,8.8325,0,0,2,2,1,74,3,1,39,Female,1,1,0,13,1,4,0,1,1,3
52,R_3g10Deg3oKZO1gd,AI03,1,2,7.13,0,0,2,2,1,74,3,1,39,Female,1,1,0,13,1,9,0,1,1,3
53,R_3g10Deg3oKZO1gd,AI04,1,0,5.8425,0,0,2,2,1,74,3,1,39,Female,1,1,0,13,1,19,0,1,0,3
54,R_3g10Deg3oKZO1gd,AI05,1,1,7.3605,0,0,2,2,1,74,3,1,39,Female,1,1,0,13,1,12,0,1,0,3
55,R_3g10Deg3oKZO1gd,AI06,1,0,6.647,0,0,2,2,1,74,3,1,39,Female,1,1,0,13,1,7,0,1,0,3
56,R_3g10Deg3oKZO1gd,AI07,1,1,5.368,0,0,2,2,1,74,3,1,39,Female,1,1,0,13,1,5,0,1,0,3
57,R_3g10Deg3oKZO1gd,AI08,1,0,7.1635,0,0,2,2,1,74,3,1,39,Female,1,1,0,13,1,15,0,1,0,3
58,R_3g10Deg3oKZO1gd,AI09,1,1,8.2645,0,0,2,2,1,74,3,1,39,Female,1,1,0,13,1,1,0,1,0,3
59,R_3g10Deg3oKZO1gd,AI10,1,2,5.766,0,0,2,2,1,74,3,1,39,Female,1,1,0,13,1,16,0,1,1,3
60,R_2Vlk1Hi2n86oOxd,Hum01,0,0,5.2515,0,1,4,4,2,10,1,3,59,Female,0,1,0,16,0,18,1,1,0,0
61,R_2Vlk1Hi2n86oOxd,Hum02,0,2,6.5505,0,1,4,4,2,10,1,3,59,Female,0,1,0,16,0,17,1,1,1,0
62,R_2Vlk1Hi2n86oOxd,Hum03,0,2,3.531,0,1,4,4,2,10,1,3,59,Female,0,1,0,16,0,19,1,1,1,0
63,R_2Vlk1Hi2n86oOxd,Hum04,0,2,3.9075,0,1,4,4,2,10,1,3,59,Female,0,1,0,16,0,9,1,1,1,0
64,R_2Vlk1Hi2n86oOxd,Hum05,0,0,7.0575,0,1,4,4,2,10,1,3,59,Female,0,1,0,16,0,16,1,1,0,1
65,R_2Vlk1Hi2n86oOxd,Hum06,0,1,5.8445,0,1,4,4,2,10,1,3,59,Female,0,1,0,16,0,6,1,1,0,1
66,R_2Vlk1Hi2n86oOxd,Hum07,0,1,8.9745,0,1,4,4,2,10,1,3,59,Female,0,1,0,16,0,13,1,1,0,2
67,R_2Vlk1Hi2n86oOxd,Hum08,0,3,9.5375,0,1,4,4,2,10,1,3,59,Female,0,1,0,16,0,1,1,1,1,2
68,R_2Vlk1Hi2n86oOxd,Hum09,0,0,5.575,0,1,4,4,2,10,1,3,59,Female,0,1,0,16,0,2,1,1,0,2
69,R_2Vlk1Hi2n86oOxd,Hum10,0,3,3.7495,0,1,4,4,2,10,1,3,59,Female,0,1,0,16,0,5,1,1,1,2
70,R_2Vlk1Hi2n86oOxd,AI01,1,1,8.3535,0,1,4,4,2,10,1,3,59,Female,0,1,0,16,0,14,1,1,0,3
71,R_2Vlk1Hi2n86oOxd,AI02,1,1,5.5815,0,1,4,4,2,10,1,3,59,Female,0,1,0,16,0,0,1,1,0,3
72,R_2Vlk1Hi2n86oOxd,AI03,1,1,5.9575,0,1,4,4,2,10,1,3,59,Female,0,1,0,16,0,15,1,1,0,3
73,R_2Vlk1Hi2n86oOxd,AI04,1,0,2.806,0,1,4,4,2,10,1,3,59,Female,0,1,0,16,0,3,1,1,0,3
74,R_2Vlk1Hi2n86oOxd,AI05,1,0,4.641,0,1,4,4,2,10,1,3,59,Female,0,1,0,16,0,8,1,1,0,3
75,R_2Vlk1Hi2n86oOxd,AI06,1,2,5.861,0,1,4,4,2,10,1,3,59,Female,0,1,0,16,0,4,1,1,1,3
76,R_2Vlk1Hi2n86oOxd,AI07,1,0,5.1085,0,1,4,4,2,10,1,3,59,Female,0,1,0,16,0,10,1,1,0,3
77,R_2Vlk1Hi2n86oOxd,AI08,1,2,4.182,0,1,4,4,2,10,1,3,59,Female,0,1,0,16,0,11,1,1,1,3
78,R_2Vlk1Hi2n86oOxd,AI09,1,0,3.547,0,1,4,4,2,10,1,3,59,Female,0,1,0,16,0,7,1,1,0,3
79,R_2Vlk1Hi2n86oOxd,AI10,1,2,6.2055,0,1,4,4,2,10,1,3,59,Female,0,1,0,16,0,12,1,1,1,3
80,R_3fMDXCa61fcNdks,Hum01,0,0,5.749,0,1,3,3,1,85,4,0,77,Female,0,2,0,17,0,14,1,1,0,0
81,R_3fMDXCa61fcNdks,Hum02,0,2,13.3085,0,1,3,3,1,85,4,0,77,Female,0,2,0,17,0,8,1,1,1,0
82,R_3fMDXCa61fcNdks,Hum03,0,0,4.8175,0,1,3,3,1,85,4,0,77,Female,0,2,0,17,0,9,1,1,0,0
83,R_3fMDXCa61fcNdks,Hum04,0,0,5.63,0,1,3,3,1,85,4,0,77,Female,0,2,0,17,0,5,1,1,0,0
84,R_3fMDXCa61fcNdks,Hum05,0,0,4.66,0,1,3,3,1,85,4,0,77,Female,0,2,0,17,0,18,1,1,0,1
85,R_3fMDXCa61fcNdks,Hum06,0,0,6.1155,0,1,3,3,1,85,4,0,77,Female,0,2,0,17,0,11,1,1,0,1
86,R_3fMDXCa61fcNdks,Hum07,0,0,6.2175,0,1,3,3,1,85,4,0,77,Female,0,2,0,17,0,3,1,1,0,2
87,R_3fMDXCa61fcNdks,Hum08,0,2,5.627,0,1,3,3,1,85,4,0,77,Female,0,2,0,17,0,15,1,1,1,2
88,R_3fMDXCa61fcNdks,Hum09,0,0,8.5795,0,1,3,3,1,85,4,0,77,Female,0,2,0,17,0,2,1,1,0,2
89,R_3fMDXCa61fcNdks,Hum10,0,3,9.913,0,1,3,3,1,85,4,0,77,Female,0,2,0,17,0,4,1,1,1,2
90,R_3fMDXCa61fcNdks,AI01,1,0,3.6815,0,1,3,3,1,85,4,0,77,Female,0,2,0,17,0,17,1,1,0,3
91,R_3fMDXCa61fcNdks,AI02,1,3,6.8215,0,1,3,3,1,85,4,0,77,Female,0,2,0,17,0,12,1,1,1,3
92,R_3fMDXCa61fcNdks,AI03,1,0,3.7495,0,1,3,3,1,85,4,0,77,Female,0,2,0,17,0,16,1,1,0,3
93,R_3fMDXCa61fcNdks,AI04,1,2,6.059,0,1,3,3,1,85,4,0,77,Female,0,2,0,17,0,6,1,1,1,3
94,R_3fMDXCa61fcNdks,AI05,1,0,5.991,0,1,3,3,1,85,4,0,77,Female,0,2,0,17,0,7,1,1,0,3
95,R_3fMDXCa61fcNdks,AI06,1,0,9.3885,0,1,3,3,1,85,4,0,77,Female,0,2,0,17,0,0,1,1,0,3
96,R_3fMDXCa61fcNdks,AI07,1,0,5.2475,0,1,3,3,1,85,4,0,77,Female,0,2,0,17,0,1,1,1,0,3
97,R_3fMDXCa61fcNdks,AI08,1,2,6.931,0,1,3,3,1,85,4,0,77,Female,0,2,0,17,0,13,1,1,1,3
98,R_3fMDXCa61fcNdks,AI09,1,0,7.135,0,1,3,3,1,85,4,0,77,Female,0,2,0,17,0,10,1,1,0,3
99,R_3fMDXCa61fcNdks,AI10,1,1,6.263,0,1,3,3,1,85,4,0,77,Female,0,2,0,17,0,19,1,1,0,3
100,R_3NNZJFkWswz4VQa,Hum01,0,0,7.781,0,1,4,4,2,82,3,1,77,Female,0,1,0,12,0,13,1,1,0,0
101,R_3NNZJFkWswz4VQa,Hum02,0,2,7.199,0,1,4,4,2,82,3,1,77,Female,0,1,0,12,0,9,1,1,1,0
102,R_3NNZJFkWswz4VQa,Hum03,0,1,9.547,1,1,4,4,2,82,3,1,77,Female,0,1,0,12,0,0,1,1,0,0
103,R_3NNZJFkWswz4VQa,Hum04,0,2,4.64,0,1,4,4,2,82,3,1,77,Female,0,1,0,12,0,19,1,1,1,0
104,R_3NNZJFkWswz4VQa,Hum05,0,3,6.679,-1,1,4,4,2,82,3,1,77,Female,0,1,0,12,0,5,1,1,1,1
105,R_3NNZJFkWswz4VQa,Hum06,0,4,7.2675,-1,1,4,4,2,82,3,1,77,Female,0,1,0,12,0,15,1,1,1,1
106,R_3NNZJFkWswz4VQa,Hum07,0,3,7.1495,-1,1,4,4,2,82,3,1,77,Female,0,1,0,12,0,11,1,1,1,2
107,R_3NNZJFkWswz4VQa,Hum08,0,2,7.4775,0,1,4,4,2,82,3,1,77,Female,0,1,0,12,0,8,1,1,1,2
108,R_3NNZJFkWswz4VQa,Hum09,0,1,7.323,0,1,4,4,2,82,3,1,77,Female,0,1,0,12,0,4,1,1,0,2
109,R_3NNZJFkWswz4VQa,Hum10,0,0,8.274,1,1,4,4,2,82,3,1,77,Female,0,1,0,12,0,18,1,1,0,2
110,R_3NNZJFkWswz4VQa,AI01,1,2,7.4665,0,1,4,4,2,82,3,1,77,Female,0,1,0,12,0,14,1,1,1,3
111,R_3NNZJFkWswz4VQa,AI02,1,3,7.7555,1,1,4,4,2,82,3,1,77,Female,0,1,0,12,0,10,1,1,1,3
112,R_3NNZJFkWswz4VQa,AI03,1,2,8.061,0,1,4,4,2,82,3,1,77,Female,0,1,0,12,0,1,1,1,1,3
113,R_3NNZJFkWswz4VQa,AI04,1,4,8.9635,-1,1,4,4,2,82,3,1,77,Female,0,1,0,12,0,7,1,1,1,3
114,R_3NNZJFkWswz4VQa,AI05,1,3,5.2485,0,1,4,4,2,82,3,1,77,Female,0,1,0,12,0,2,1,1,1,3
115,R_3NNZJFkWswz4VQa,AI06,1,1,7.7475,1,1,4,4,2,82,3,1,77,Female,0,1,0,12,0,3,1,1,0,3
116,R_3NNZJFkWswz4VQa,AI07,1,2,6.8195,0,1,4,4,2,82,3,1,77,Female,0,1,0,12,0,6,1,1,1,3
117,R_3NNZJFkWswz4VQa,AI08,1,0,10.801,1,1,4,4,2,82,3,1,77,Female,0,1,0,12,0,12,1,1,0,3
118,R_3NNZJFkWswz4VQa,AI09,1,0,4.4285,1,1,4,4,2,82,3,1,77,Female,0,1,0,12,0,16,1,1,0,3
119,R_3NNZJFkWswz4VQa,AI10,1,3,6.8625,-1,1,4,4,2,82,3,1,77,Female,0,1,0,12,0,17,1,1,1,3
120,R_1i9hDaJ7TQtH1LG,Hum01,0,0,6.9955,0,1,2,2,1,80,4,4,62,Female,0,1,0,16,0,2,1,1,0,0
121,R_1i9hDaJ7TQtH1LG,Hum02,0,0,16.7505,0,1,2,2,1,80,4,4,62,Female,0,1,0,16,0,5,1,1,0,0
122,R_1i9hDaJ7TQtH1LG,Hum03,0,0,4.6005,0,1,2,2,1,80,4,4,62,Female,0,1,0,16,0,12,1,1,0,0
123,R_1i9hDaJ7TQtH1LG,Hum04,0,2,15.072,0,1,2,2,1,80,4,4,62,Female,0,1,0,16,0,8,1,1,1,0
124,R_1i9hDaJ7TQtH1LG,Hum05,0,0,16.3505,0,1,2,2,1,80,4,4,62,Female,0,1,0,16,0,7,1,1,0,1
125,R_1i9hDaJ7TQtH1LG,Hum06,0,0,12.75,0,1,2,2,1,80,4,4,62,Female,0,1,0,16,0,18,1,1,0,1
126,R_1i9hDaJ7TQtH1LG,Hum07,0,0,9.6505,0,1,2,2,1,80,4,4,62,Female,0,1,0,16,0,3,1,1,0,2
127,R_1i9hDaJ7TQtH1LG,Hum08,0,0,6.375,0,1,2,2,1,80,4,4,62,Female,0,1,0,16,0,19,1,1,0,2
128,R_1i9hDaJ7TQtH1LG,Hum09,0,0,7.676,0,1,2,2,1,80,4,4,62,Female,0,1,0,16,0,6,1,1,0,2
129,R_1i9hDaJ7TQtH1LG,Hum10,0,2,17.386,0,1,2,2,1,80,4,4,62,Female,0,1,0,16,0,4,1,1,1,2
130,R_1i9hDaJ7TQtH1LG,AI01,1,0,9.691,0,1,2,2,1,80,4,4,62,Female,0,1,0,16,0,14,1,1,0,3
131,R_1i9hDaJ7TQtH1LG,AI02,1,2,13.5005,0,1,2,2,1,80,4,4,62,Female,0,1,0,16,0,1,1,1,1,3
132,R_1i9hDaJ7TQtH1LG,AI03,1,0,5.0505,0,1,2,2,1,80,4,4,62,Female,0,1,0,16,0,16,1,1,0,3
133,R_1i9hDaJ7TQtH1LG,AI04,1,0,9.8505,0,1,2,2,1,80,4,4,62,Female,0,1,0,16,0,0,1,1,0,3
134,R_1i9hDaJ7TQtH1LG,AI05,1,0,9.8505,0,1,2,2,1,80,4,4,62,Female,0,1,0,16,0,9,1,1,0,3
135,R_1i9hDaJ7TQtH1LG,AI06,1,0,3.586,0,1,2,2,1,80,4,4,62,Female,0,1,0,16,0,11,1,1,0,3
136,R_1i9hDaJ7TQtH1LG,AI07,1,2,6.673,0,1,2,2,1,80,4,4,62,Female,0,1,0,16,0,15,1,1,1,3
137,R_1i9hDaJ7TQtH1LG,AI08,1,0,8.601,0,1,2,2,1,80,4,4,62,Female,0,1,0,16,0,13,1,1,0,3
138,R_1i9hDaJ7TQtH1LG,AI09,1,0,4.2895,0,1,2,2,1,80,4,4,62,Female,0,1,0,16,0,17,1,1,0,3
139,R_1i9hDaJ7TQtH1LG,AI10,1,3,7.1725,0,1,2,2,1,80,4,4,62,Female,0,1,0,16,0,10,1,1,1,3
140,R_yxzZHJxu7OCbQBP,Hum01,0,2,5.25,0,1,3,3,0,8,1,1,48,Female,1,0,0,17,0,1,1,1,1,0
141,R_yxzZHJxu7OCbQBP,Hum02,0,2,3.849,0,1,3,3,0,8,1,1,48,Female,1,0,0,17,0,7,1,1,1,0
142,R_yxzZHJxu7OCbQBP,Hum03,0,2,2.533,0,1,3,3,0,8,1,1,48,Female,1,0,0,17,0,15,1,1,1,0
143,R_yxzZHJxu7OCbQBP,Hum04,0,2,4.1385,0,1,3,3,0,8,1,1,48,Female,1,0,0,17,0,0,1,1,1,0
144,R_yxzZHJxu7OCbQBP,Hum05,0,2,2.6905,0,1,3,3,0,8,1,1,48,Female,1,0,0,17,0,13,1,1,1,1
145,R_yxzZHJxu7OCbQBP,Hum06,0,2,3.8925,0,1,3,3,0,8,1,1,48,Female,1,0,0,17,0,5,1,1,1,1
146,R_yxzZHJxu7OCbQBP,Hum07,0,2,2.3935,0,1,3,3,0,8,1,1,48,Female,1,0,0,17,0,18,1,1,1,2
147,R_yxzZHJxu7OCbQBP,Hum08,0,2,2.9345,0,1,3,3,0,8,1,1,48,Female,1,0,0,17,0,10,1,1,1,2
148,R_yxzZHJxu7OCbQBP,Hum09,0,2,2.926,0,1,3,3,0,8,1,1,48,Female,1,0,0,17,0,3,1,1,1,2
149,R_yxzZHJxu7OCbQBP,Hum10,0,2,3.601,0,1,3,3,0,8,1,1,48,Female,1,0,0,17,0,2,1,1,1,2
150,R_yxzZHJxu7OCbQBP,AI01,1,2,2.404,0,1,3,3,0,8,1,1,48,Female,1,0,0,17,0,17,1,1,1,3
151,R_yxzZHJxu7OCbQBP,AI02,1,3,5.501,0,1,3,3,0,8,1,1,48,Female,1,0,0,17,0,8,1,1,1,3
152,R_yxzZHJxu7OCbQBP,AI03,1,2,2.92,0,1,3,3,0,8,1,1,48,Female,1,0,0,17,0,6,1,1,1,3
153,R_yxzZHJxu7OCbQBP,AI04,1,2,2.7735,0,1,3,3,0,8,1,1,48,Female,1,0,0,17,0,9,1,1,1,3
154,R_yxzZHJxu7OCbQBP,AI05,1,2,3.627,0,1,3,3,0,8,1,1,48,Female,1,0,0,17,0,12,1,1,1,3
155,R_yxzZHJxu7OCbQBP,AI06,1,2,2.4525,0,1,3,3,0,8,1,1,48,Female,1,0,0,17,0,16,1,1,1,3
156,R_yxzZHJxu7OCbQBP,AI07,1,2,2.701,0,1,3,3,0,8,1,1,48,Female,1,0,0,17,0,4,1,1,1,3
157,R_yxzZHJxu7OCbQBP,AI08,1,2,3.652,0,1,3,3,0,8,1,1,48,Female,1,0,0,17,0,11,1,1,1,3
158,R_yxzZHJxu7OCbQBP,AI09,1,2,2.5465,0,1,3,3,0,8,1,1,48,Female,1,0,0,17,0,19,1,1,1,3
159,R_yxzZHJxu7OCbQBP,AI10,1,2,2.4815,0,1,3,3,0,8,1,1,48,Female,1,0,0,17,0,14,1,1,1,3
160,R_V3AsLDNjpaxGJLH,Hum01,0,0,11.972,0,1,0,0,0,75,4,2,75,Female,1,0,0,15,0,14,1,1,0,0
161,R_V3AsLDNjpaxGJLH,Hum02,0,2,13.2035,0,1,0,0,0,75,4,2,75,Female,1,0,0,15,0,11,1,1,1,0
162,R_V3AsLDNjpaxGJLH,Hum03,0,0,24.99,0,1,0,0,0,75,4,2,75,Female,1,0,0,15,0,19,1,1,0,0
163,R_V3AsLDNjpaxGJLH,Hum04,0,0,9.312,0,1,0,0,0,75,4,2,75,Female,1,0,0,15,0,8,1,1,0,0
164,R_V3AsLDNjpaxGJLH,Hum05,0,0,20.447,0,1,0,0,0,75,4,2,75,Female,1,0,0,15,0,4,1,1,0,1
165,R_V3AsLDNjpaxGJLH,Hum06,0,0,28.955,0,1,0,0,0,75,4,2,75,Female,1,0,0,15,0,3,1,1,0,1
166,R_V3AsLDNjpaxGJLH,Hum07,0,0,9.382,0,1,0,0,0,75,4,2,75,Female,1,0,0,15,0,7,1,1,0,2
167,R_V3AsLDNjpaxGJLH,Hum08,0,4,8.059,0,1,0,0,0,75,4,2,75,Female,1,0,0,15,0,0,1,1,1,2
168,R_V3AsLDNjpaxGJLH,Hum09,0,0,6.2555,0,1,0,0,0,75,4,2,75,Female,1,0,0,15,0,2,1,1,0,2
169,R_V3AsLDNjpaxGJLH,Hum10,0,2,9.5295,0,1,0,0,0,75,4,2,75,Female,1,0,0,15,0,5,1,1,1,2
170,R_V3AsLDNjpaxGJLH,AI01,1,0,6.8115,0,1,0,0,0,75,4,2,75,Female,1,0,0,15,0,1,1,1,0,3
171,R_V3AsLDNjpaxGJLH,AI02,1,0,8.564,0,1,0,0,0,75,4,2,75,Female,1,0,0,15,0,9,1,1,0,3
172,R_V3AsLDNjpaxGJLH,AI03,1,0,9.867,0,1,0,0,0,75,4,2,75,Female,1,0,0,15,0,15,1,1,0,3
173,R_V3AsLDNjpaxGJLH,AI04,1,0,10.0995,0,1,0,0,0,75,4,2,75,Female,1,0,0,15,0,10,1,1,0,3
174,R_V3AsLDNjpaxGJLH,AI05,1,0,56.966,0,1,0,0,0,75,4,2,75,Female,1,0,0,15,0,6,1,1,0,3
175,R_V3AsLDNjpaxGJLH,AI06,1,0,5.5175,0,1,0,0,0,75,4,2,75,Female,1,0,0,15,0,16,1,1,0,3
176,R_V3AsLDNjpaxGJLH,AI07,1,0,4.5125,0,1,0,0,0,75,4,2,75,Female,1,0,0,15,0,18,1,1,0,3
177,R_V3AsLDNjpaxGJLH,AI08,1,0,8.748,0,1,0,0,0,75,4,2,75,Female,1,0,0,15,0,13,1,1,0,3
178,R_V3AsLDNjpaxGJLH,AI09,1,0,7.127,0,1,0,0,0,75,4,2,75,Female,1,0,0,15,0,12,1,1,0,3
179,R_V3AsLDNjpaxGJLH,AI10,1,2,5.441,0,1,0,0,0,75,4,2,75,Female,1,0,0,15,0,17,1,1,1,3
180,R_xm7Loh73reyVDJD,Hum01,0,0,2.4965,0,1,0,0,0,92,4,2,40,Female,1,1,0,16,0,6,1,1,0,0
181,R_xm7Loh73reyVDJD,Hum02,0,0,2.9555,0,1,0,0,0,92,4,2,40,Female,1,1,0,16,0,14,1,1,0,0
182,R_xm7Loh73reyVDJD,Hum03,0,0,2.98,0,1,0,0,0,92,4,2,40,Female,1,1,0,16,0,4,1,1,0,0
183,R_xm7Loh73reyVDJD,Hum04,0,2,2.613,0,1,0,0,0,92,4,2,40,Female,1,1,0,16,0,1,1,1,1,0
184,R_xm7Loh73reyVDJD,Hum05,0,0,2.559,0,1,0,0,0,92,4,2,40,Female,1,1,0,16,0,5,1,1,0,1
